id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,ping
0,76.237,78.905,58.698,68.949,,,,,,,,,,,,,0.024
1,7.36,26.057,66.295,53.675,,,,,,,,,,,,,114.291
2,11.97,55.217,59.156,15.178,,,,,,,,,,,,,1.007
3,27.169,74.146,44.258,67.982,,,,,,,,,,,,,0.698
4,31.584,36.136,70.928,65.378,,,,,,,,,,,,,0.838
5,74.125,70.127,19.978,55.818,,,,,,,,,,,,,0.639
6,19.585,65.56,18.864,76.978,,,,,,,,,,,,,0.675
7,56.565,35.579,67.91,70.517,,,,,,,,,,,,,0.925
8,29.357,41.475,72.878,5.795,,,,,,,,,,,,,0.645
9,76.961,62.778,68.286,85.429,,,,,,,,,,,,,0.642
10,47.451,81.303,62.733,3.66,,,,,,,,,,,,,0.72
11,11.952,13.252,21.362,87.636,,,,,,,,,,,,,0.657
12,72.526,74.655,18.95,46.22,,,,,,,,,,,,,0.658
13,57.116,46.514,38.832,78.79,,,,,,,,,,,,,1.092
14,65.833,55.637,89.535,23.47,,,,,,,,,,,,,1.225
15,44.105,56.248,10.674,39.96,,,,,,,,,,,,,0.79
16,87.493,89.82,77.556,24.563,,,,,,,,,,,,,0.678
17,71.316,68.456,2.455,74.21,,,,,,,,,,,,,0.686
18,87.832,60.963,86.372,10.613,,,,,,,,,,,,,0.63
19,67.287,42.758,63.979,19.802,,,,,,,,,,,,,0.613
20,51.153,64.612,70.651,85.002,,,,,,,,,,,,,0.661
21,30.786,58.514,31.318,77.856,,,,,,,,,,,,,0.611
22,8.052,67.613,25.752,14.227,,,,,,,,,,,,,0.614
23,60.651,89.851,85.226,20.007,,,,,,,,,,,,,0.649
24,70.173,74.207,13.846,87.693,,,,,,,,,,,,,0.69
25,4.807,49.715,36.726,63.988,,,,,,,,,,,,,0.641
26,83.464,20.36,7.561,30.44,,,,,,,,,,,,,0.839
27,6.928,22.819,70.369,39.194,,,,,,,,,,,,,0.748
28,56.509,3.771,84.71,33.13,,,,,,,,,,,,,0.674
29,44.181,57.877,11.752,23.064,,,,,,,,,,,,,0.631
30,4.383,15.268,10.187,41.588,,,,,,,,,,,,,0.613
31,48.217,43.101,62.863,85.481,,,,,,,,,,,,,0.603
32,19.607,7.286,60.738,89.782,,,,,,,,,,,,,0.586
33,1.909,48.467,84.52,53.583,,,,,,,,,,,,,0.589
34,8.24,6.208,48.285,37.467,,,,,,,,,,,,,1.056
35,76.965,8.083,20.966,82.957,,,,,,,,,,,,,0.88
36,86,69.647,63.467,8.47,,,,,,,,,,,,,0.73
37,70.256,27.279,12.708,66.687,,,,,,,,,,,,,0.64
38,26.301,49.997,62.704,44.717,,,,,,,,,,,,,0.679
39,15.124,37.835,2.084,85.493,,,,,,,,,,,,,0.658
40,63.102,73.936,74.526,87.419,,,,,,,,,,,,,0.594
41,64.81,51.575,67.654,25.263,,,,,,,,,,,,,0.584
42,12.048,53.094,17.902,63.685,,,,,,,,,,,,,0.605
43,79.943,23.21,13.575,63.904,,,,,,,,,,,,,0.611
44,38.93,67.648,40.693,68.177,,,,,,,,,,,,,0.567
45,72.954,19.897,10.435,6.395,,,,,,,,,,,,,0.559
46,58.236,80.051,53.485,29.613,,,,,,,,,,,,,0.57
47,85.581,36.876,6.307,63.475,,,,,,,,,,,,,0.832
48,27.755,30.404,21.017,42.444,,,,,,,,,,,,,0.654
