id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,ping
0.0,30.278,39.687,46.624,25.877,,,,,,,,,,,,,0.02
1.0,56.367,11.145,40.817,86.97,,,,,,,,,,,,,82.263
2.0,23.577,77.841,51.356,30.714,,,,,,,,,,,,,1.36
3.0,5.121,45.673,77.279,82.752,,,,,,,,,,,,,0.956
4.0,55.769,81.339,50.463,78.421,,,,,,,,,,,,,0.819
5.0,24.479,19.042,22.364,7.142,,,,,,,,,,,,,0.658
6.0,68.958,35.739,33.059,28.808,,,,,,,,,,,,,0.597
7.0,63.248,86.775,57.637,69.772,,,,,,,,,,,,,0.571
8.0,18.97,50.474,64.123,60.29,,,,,,,,,,,,,0.721
9.0,71.194,53.387,25.626,6.392,,,,,,,,,,,,,4.315
10.0,11.166,37.168,69.067,14.804,,,,,,,,,,,,,10.233
11.0,87.536,44.083,50.727,30.17,,,,,,,,,,,,,10.386
12.0,57.152,27.597,53.972,2.479,,,,,,,,,,,,,12.184
13.0,34.781,82.121,21.765,6.4,,,,,,,,,,,,,8.409
14.0,62.781,22.65,48.377,42.902,,,,,,,,,,,,,10.111
15.0,18.63,47.636,86.327,56.121,,,,,,,,,,,,,13.839
16.0,38.444,75.353,9.918,66.197,,,,,,,,,,,,,6.626
17.0,6.251,28.492,19.235,50.453,,,,,,,,,,,,,10.275
18.0,76.404,61.137,56.264,46.851,,,,,,,,,,,,,10.647
19.0,74.083,60.001,45.803,9.945,,,,,,,,,,,,,33.278
20.0,54.883,68.94,48.873,35.541,,,,,,,,,,,,,5.035
21.0,51.293,42.023,34.937,10.386,,,,,,,,,,,,,1.264
22.0,64.279,85.618,51.162,35.584,,,,,,,,,,,,,0.894
23.0,34.364,49.924,73.123,64.428,,,,,,,,,,,,,10.03
24.0,47.082,67.996,67.569,55.657,,,,,,,,,,,,,10.438
25.0,56.199,84.675,61.936,57.869,,,,,,,,,,,,,10.198
26.0,89.323,89.856,57.779,70.965,,,,,,,,,,,,,10.55
27.0,86.787,58.642,49.382,43.84,,,,,,,,,,,,,9.872
28.0,39.765,37.627,5.674,80.715,,,,,,,,,,,,,11.981
29.0,56.976,30.863,46.958,35.098,,,,,,,,,,,,,8.726
30.0,34.04,14.447,81.58,73.585,,,,,,,,,,,,,10.107
31.0,83.328,28.68,37.342,65.327,,,,,,,,,,,,,10.244
32.0,51.948,8.278,11.017,38.757,,,,,,,,,,,,,10.409
33.0,49.348,72.033,52.941,43.176,,,,,,,,,,,,,9.977
34.0,13.074,80.731,53.626,57.244,,,,,,,,,,,,,10.331
35.0,45.442,67.806,11.727,89.521,,,,,,,,,,,,,10.478
36.0,29.662,36.298,75.462,36.527,,,,,,,,,,,,,10.0
37.0,59.03,33.192,47.22,56.319,,,,,,,,,,,,,10.263
38.0,79.842,49.558,64.139,44.349,,,,,,,,,,,,,15.855
